"Title","ID","Created Date","Updated Date","Owner","Age Group","Thumbnail Image","Description","URL","Tags","Printables (List)","Type","All Games (List)","Quizzes & Word Games (List)","Quran Games","Pillars of Islam Games","Ramadan Printables","Ebooks","Jigsaw Puzzles"
"Ramadan Treasures, Discovering the Beauty of the Holy Month Mini Book","096db56b-a400-48d7-be79-2a65a6d9b535",2025-03-12T03:16:23Z,2025-03-19T20:21:49Z,"4c6435fa-3f1d-4fdd-8cc4-ec8d10be9f28","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/4c6435_56729167c89842a5b4de7541d5c9c640~mv2.jpg/10.jpg#originWidth=1920&originHeight=1080","<p class=""font_8"">Discovering the Beauty of the Holy Month Mini Book</p>","https://www.canva.com/design/DAGhexExB4I/JuoW-vlL8IYluyrgWkwXQg/view?utm_content=DAGhexExB4I&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h97a4c57098","[""Ramadan""]","/printables/",,"/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Ebook - Stories of the Prophets for Little Hearts","1003e628-e00c-4f5b-b7f5-5856069e25b0",2025-03-05T21:14:38Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Pre-K"",""6-8 years old""]","wix:image://v1/61ddda_08125cf14a1345ca90cc37317579c43f~mv2.png/elephants-2757831_1280.png#originWidth=720&originHeight=1280","<p class=""font_8"">Get Your FREE Illustrated Book: Stories of the Prophets for Little Hearts!</p>
<ul class=""font_8"">
  <li><p class=""font_8"">""20 pages of engaging stories for children.""</p></li>
  <li><p class=""font_8"">""Includes parent guides and Quranic references.""</p></li>
  <li><p class=""font_8"">""Beautifully designed to inspire love for Islam.""</p></li>
</ul>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_9103180694d241ad85282f484c2fcfcd.pdf","[""Educational"",""Islamic Values"",""Ebook""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Arabic Alphabet Tracing Flashcards","1e119362-0a83-4b58-93b3-27c19a1076db",2025-03-03T18:18:58Z,2025-03-19T21:03:25Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Toddlers"",""Pre-K"",""6-8 years old""]","wix:image://v1/61ddda_9e38d04e352d4277b57579a26e66207d~mv2.png/Flashcard%20Hijaiyah%20Arabic%20Tracing%20in%20Black%20and%20White.png#originWidth=1250&originHeight=884","<p class=""font_8"">Print these Arabic alphabet tracing flashcards and laminate them for a fun, reusable learning resource!</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_3bde2304d32d4dafa2d1f093e9a4d5e4.pdf","[""Arabic"",""Educational"",""Flashcards""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Gratitude Tree","33bb5850-6305-434c-8bb4-ddca15f8d2f0",2025-03-13T18:29:08Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f",,"wix:image://v1/61ddda_5db7fbd77b58434a9a08abb845dd9e8b~mv2.jpg/Gratitude%20Tree.jpg#originWidth=794&originHeight=1123","<p class=""font_8"">Fill your gratitude tree with baraka!</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_4cd98bd93279443aa1cce818a26d5749.pdf","[""Islamic Values""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Weekly Prayer Tracker","3550570f-c0b6-4a9e-a1ae-8fdfd672aae8",2025-03-13T15:46:54Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f",,"wix:image://v1/61ddda_a0c5ffbf4a124b5ca43492d4d12abb54~mv2.jpg/Prayer%20Tracker%20Ramadan%20Planner%20A4.jpg#originWidth=1414&originHeight=2000","<p class=""font_8"">Convenient printable prayer tracker helps you track the 5 daily prayers for a week!</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_548736bcec5d405c98c3a74d66c3d2dc.pdf","[""Prayer""]","/printables/","[""printable"",""salah""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"30 Day Ramadan Challenge Worksheet","40251859-1a2d-47db-808d-1e1112be4bcc",2025-03-03T18:20:02Z,2025-03-19T21:01:24Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old"",""12+ years old""]","wix:image://v1/61ddda_14c1e6a5cf1d45d981f72198cb5e3384~mv2.png/Beige%20Pastel%20Interacting%2030%20Day%20Ramadan%20Challenge%20Worksheet.png#originWidth=884&originHeight=1250","<p class=""font_8"">Increase your good deeds and build habits that matter with this 30-day printable Ramadan challenge worksheet.</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_f8207cffed0d49e08d8b250d014ec5a6.pdf","[""Ramadan"",""Islamic Values""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Arabic Alphabet Flashcards","413389ed-e35f-49e7-b648-4aeee23f92bb",2025-02-28T19:44:50Z,2025-03-19T21:03:30Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""Pre-K"",""6-8 years old""]","wix:image://v1/61ddda_c5f91b5e334b46d4a3f9e19437f71d57~mv2.png/White%20Pastel%20Minimalist%20Arabic%20Alphabet%20Flashcard.png#originWidth=1250&originHeight=884","<p class=""font_8"">Arabic alphabet flashcards in printable PDF format</p>","https://61dddaa3-82f6-438b-8e32-abcf2d967e5f.usrfiles.com/ugd/61ddda_55787869bfb34f7b916c9b2ccfcc78e0.pdf","[""Arabic"",""Educational"",""Flashcards""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Surah Match-Up","53f16be4-16e4-4fd7-8692-a7d16bae3632",2025-03-11T15:55:47Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old""]","wix:image://v1/61ddda_e3236e79402e41aca9622c2a417807ce~mv2.png/Screenshot%202025-03-11%20at%204.08.18%E2%80%AFPM.png#originWidth=931&originHeight=531","<p class=""font_8"">Match the surahs from the Quran with their description</p>","https://www.islam4kids.org/surah-match-up","[""Quran"",""Educational""]","/printables/","[""game"",""quran""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Names of Allah - Workbook","5560074a-bf54-453b-97cf-b69c70157a67",2025-03-11T16:54:14Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old""]","wix:image://v1/61ddda_25c9639d92ec4e399f3369900442535e~mv2.png/Screenshot%202025-03-11%20at%204.56.59%E2%80%AFPM.png#originWidth=636&originHeight=512","<p class=""font_8"">This workbook&nbsp;briefly reviews some of the names of Allah and has activities, such as word searches, fill in the blank, and questions to reinforce learning.</p>","https://www.islam4kids.org/_files/ugd/61ddda_803fe06395bd42eba4f58551da2569de.pdf","[""Educational"",""Ebook"",""Islamic Values""]","/printables/","[""printable""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
"Bismillah or Alhamdulillah Sorting Puzzle","632edc56-ec9c-458d-bb30-bb8cc9971702",2025-03-07T20:16:18Z,2025-03-19T20:21:49Z,"61dddaa3-82f6-438b-8e32-abcf2d967e5f","[""6-8 years old"",""9-11 years old""]","wix:image://v1/61ddda_96d4438f30f24529a8eeb7667ade3c5e~mv2.png/Screenshot%202025-03-07%20at%208.16.13%E2%80%AFPM.png#originWidth=716&originHeight=369","<p class=""font_8"">Do you know when we say Bismillah? How about when we say Alhamdulilah? Sort them out in this fun sorting game!</p>","https://www.islam4kids.org/bismillah-sorting-game","[""Educational"",""Islamic Values""]","/printables/","[""sorting game"",""game"",""arabic"",""duaa""]","/all-games/","/word-games/","/quran-games/","/pillars-of-islam-games/","/ramadan-printables/","/ebooks/","/jigsaw-puzzles/"
